DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Annealing_T(°C) Br_Count C_Count Cl_Count Complexity Concentration(mM) H_Count Halide_fraction Heavy_Atom_Count Heteroatom_carbon_ratio Heteroatom_count Hydrogen_Bond_Acceptor_Count Hydrogen_Bond_Donor_Count I_Count Molecular_Weight(u) Rigid_Bond_Count Rotatable_Bond_Count Topological_Polar_Surface_Area
MEPEACl-10mM-100T 1105.52 19.14 50.47 11.37 100 0 9 1 82.7291 10 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-10mM-20T 1131.05 21.84 66.89 16.61 20 0 9 1 82.7291 10 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-15mM-100T 1143.76 22.59 79.74 20.6 100 0 9 1 82.7291 15 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-15mM-20T 1143.41 22.96 80.89 21.23 20 0 9 1 82.7291 15 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-5mM-100T 1106.66 20.34 55.0 12.87 100 0 9 1 82.7291 5 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-5mM-20T 1126.56 21.75 64.39 16.41 20 0 9 1 82.7291 5 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
iso-BAI-10mM-100T 1059.42 12.48 40.85 6.11 100 0 4 0 17.6096 10 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-10mM-20T 1090.93 12.82 41.01 6.1 20 0 4 0 17.6096 10 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-15mM-100T 1063.72 8.05 39.55 3.39 100 0 4 0 17.6096 15 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-15mM-20T 1096.16 15.48 53.16 9.63 20 0 4 0 17.6096 15 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-5mM-100T 1088.25 17.42 60.05 11.6 100 0 4 0 17.6096 5 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-5mM-20T 1085.34 18.9 56.45 11.95 20 0 4 0 17.6096 5 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64

