DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Annealing_T(°C) Br_Count C_Count Cl_Count Complexity Concentration(mM) H_Count Halide_fraction Heavy_Atom_Count Heteroatom_carbon_ratio Heteroatom_count Hydrogen_Bond_Acceptor_Count Hydrogen_Bond_Donor_Count I_Count Molecular_Weight(u) Rigid_Bond_Count Rotatable_Bond_Count Topological_Polar_Surface_Area
BBr-10mM-100T 1097.46 9.39 43.27 4.78 100 1 7 0 55.4072 10 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
BBr-10mM-20T 1121.24 22.27 62.29 16.09 20 1 7 0 55.4072 10 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
BBr-15mM-100T 1110.22 20.01 50.49 11.65 100 1 7 0 55.4072 15 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
BBr-15mM-20T 1112.2 22.74 62.62 15.98 20 1 7 0 55.4072 15 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
BBr-5mM-100T 1077.43 8.73 41.07 3.99 100 1 7 0 55.4072 5 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
BBr-5mM-20T 1090.73 12.54 42.71 6.59 20 1 7 0 55.4072 5 10 0.4249 9 0.2857 2 1 1 0 188.0667 6 1 27.64
HBr-10mM-100T 1088.18 21.01 48.3 11.63 100 0 6 0 27.361 10 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
HBr-10mM-20T 1127.66 22.97 61.72 16.13 20 0 6 0 27.361 10 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
HBr-15mM-100T 1099.86 21.01 48.57 11.72 100 0 6 0 27.361 15 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
HBr-15mM-20T 1106.6 22.6 52.96 13.41 20 0 6 0 27.361 15 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
HBr-5mM-100T 1085.87 22.31 49.71 12.12 100 0 6 0 27.361 5 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
HBr-5mM-20T 1107.87 22.56 58.1 14.63 20 0 6 0 27.361 5 16 0.4388 8 0.3333 2 1 1 0 182.1031 0 4 27.64
MEPEABr-10mM-100T 1135.0 24.37 76.54 21.17 100 1 9 0 82.7291 10 14 0.3697 11 0.2222 2 1 1 0 216.1203 6 2 27.64
MEPEABr-10mM-20T 1120.06 23.35 75.05 19.65 20 1 9 0 82.7291 10 14 0.3697 11 0.2222 2 1 1 0 216.1203 6 2 27.64
MEPEABr-15mM-100T 1103.36 19.23 60.66 13.74 100 1 9 0 82.7291 15 14 0.3697 11 0.2222 2 1 1 0 216.1203 6 2 27.64
MEPEABr-15mM-20T 1115.96 14.38 46.51 8.05 20 1 9 0 82.7291 15 14 0.3697 11 0.2222 2 1 1 0 216.1203 6 2 27.64
MEPEABr-5mM-100T 1138.41 23.08 78.25 20.56 100 1 9 0 82.7291 5 14 0.3697 11 0.2222 2 1 1 0 216.1203 6 2 27.64
