DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Concentration(mM) Annealing_T(°C) Molecular_Weight(u) Hydrogen_Bond_Donor_Count Hydrogen_Bond_Acceptor_Count Rotatable_Bond_Count Rigid_Bond_Count Topological_Polar_Surface_Area Complexity Heavy_Atom_Count Halide_fraction Heteroatom_carbon_ratio Heteroatom_count H_Count C_Count Cl_Count Br_Count I_Count
MEPEAI-15mM-20T-1-49-For 1116.61 15.52 45.11 7.82 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-50-For 1085.61 11.42 30.47 3.78 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-51-For 1063.15 8.06 24.69 2.12 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-52-For 1088.15 10.97 30.07 3.59 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-53-For 1056.16 7.02 23.89 1.77 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-54-For 1072.72 12.35 29.67 3.93 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-1-55-For 1049.56 11.9 26.0 3.25 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-57-For 1103.28 10.35 33.48 3.82 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-58-For 1098.11 7.15 31.26 2.45 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-59-For 1093.33 6.81 30.3 2.26 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-60-For 1087.64 9.63 32.62 3.42 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-61-For 1092.95 6.49 29.31 2.08 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-62-For 1100.93 8.64 32.23 3.06 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-63-For 1097.9 10.14 32.53 3.62 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-2-64-For 1114.16 12.71 39.64 5.61 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-65-For 1062.43 6.31 23.47 1.57 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-66-For 1062.75 9.07 25.77 2.48 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-67-For 1076.85 9.35 25.53 2.57 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-68-For 1043.97 6.59 21.35 1.47 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-69-For 1102.92 10.16 31.01 3.47 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-70-For 1050.53 8.22 23.63 2.04 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-20T-3-71-For 1069.48 9.31 23.89 2.38 15 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-1-73-For 1109.35 17.94 42.9 8.54 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
